Keyword,Description,Reference
EDIFACT,EDIFACT format,[RFC1505]
EDI-X12,EDI X12 format,[ANSI-X12]
EVFU,FORTRAN format,[RFC1505]
FS,File System format,[RFC1505]
Hex,Hex binary format,[RFC1505]
LZJU90,LZJU90 format,[RFC1505]
LZW,LZW format,[RFC1505]
Message,Encapsulated Message,[RFC822]
"PEM, PEM-Clear",Privacy Enhanced Mail,[RFC1421]
PGP,Pretty Good Privacy,[RFC1505]
Postscript,Postscript format,"[Adobe Systems Inc., ""PostScript Langpuage Reference
Manual"", 2nd Edition, 2nd Printing, January 1991.]"
Shar,Shell Archive format,[RFC1505]
Signature,Signature,[RFC1505]
Tar,Tar format,[RFC1505]
Text,Text,[RFC1505]
uuencode,uuencode format,[RFC1505]
URL,external URL-reference,[RFC1505]
