ID Value,Chunk Parameter Type,Reference
1,Heartbeat Info,[RFC-ietf-tsvwg-rfc4960-bis-19]
2-4,Unassigned,
5,IPv4 Address,[RFC-ietf-tsvwg-rfc4960-bis-19]
6,IPv6 Address,[RFC-ietf-tsvwg-rfc4960-bis-19]
7,State Cookie,[RFC-ietf-tsvwg-rfc4960-bis-19]
8,Unrecognized Parameter,[RFC-ietf-tsvwg-rfc4960-bis-19]
9,Cookie Preservative,[RFC-ietf-tsvwg-rfc4960-bis-19]
10,Unassigned,
11,Host Name Address,[RFC-ietf-tsvwg-rfc4960-bis-19]
12,Supported Address Types,[RFC-ietf-tsvwg-rfc4960-bis-19]
13,Outgoing SSN Reset Request Parameter,[RFC6525]
14,Incoming SSN Reset Request Parameter,[RFC6525]
15,SSN/TSN Reset Request Parameter,[RFC6525]
16,Re-configuration Response Parameter,[RFC6525]
17,Add Outgoing Streams Request Parameter,[RFC6525]
18,Add Incoming Streams Request Parameter,[RFC6525]
19-32767,Unassigned,
32768,Reserved for ECN Capable (0x8000),[RFC-ietf-tsvwg-rfc4960-bis-19]
32770,Random  (0x8002),[RFC4805]
32771,Chunk List  (0x8003),[RFC4895]
32772,Requested HMAC Algorithm Parameter  (0x8004),[RFC4895]
32773,Padding  (0x8005),
32776,Supported Extensions (0x8008),[RFC5061]
32777-49151,Unassigned,
49152,Forward TSN supported  (0xC000),[RFC3758]
49153,Add IP Address  (0xC001),[RFC5061]
49154,Delete IP Address  (0xC002),[RFC5061]
49155,Error Cause Indication  (0xC003),[RFC5061]
49156,Set Primary Address  (0xC004),[RFC5061]
49157,Success Indication  (0xC005),[RFC5061]
49158,Adaptation Layer Indication  (0xC006),[RFC5061]
49159-65534,Unassigned,
65535,Reserved for IETF-defined Chunk Extensions,[RFC-ietf-tsvwg-rfc4960-bis-19]
