sumtype value,Checksum type,checksum size,Reference
0,Reserved,,[RFC3961]
1,CRC32 (deprecated),4,[RFC6649]
2,rsa-md4 (deprecated),16,[RFC6649]
3,rsa-md4-des (deprecated),24,[RFC6649]
4,des-mac (deprecated),16,[RFC6649]
5,des-mac-k (deprecated),8,[RFC6649]
6,rsa-md4-des-k (deprecated),16,[RFC6649]
7,rsa-md5 (deprecated),16,[RFC8429]
8,rsa-md5-des (deprecated),24,[RFC6649]
9,rsa-md5-des3,24,
10,sha1 (unkeyed),20,
11,Unassigned,,
12,hmac-sha1-des3-kd (deprecated),20,[RFC8429]
13,hmac-sha1-des3 (deprecated),20,[RFC8429]
14,sha1 (unkeyed),20,
15,hmac-sha1-96-aes128,20,[RFC3962]
16,hmac-sha1-96-aes256,20,[RFC3962]
17,cmac-camellia128,16,[RFC6803]
18,cmac-camellia256,16,[RFC6803]
19,hmac-sha256-128-aes128,16,[RFC8009]
20,hmac-sha384-192-aes256,24,[RFC8009]
21-32770,Unassigned,,
32771,Reserved,,[RFC1964]
32772-2147483647,Unassigned,,
