Keyword,Type,Usage,Scope,Comments,Reference
$MDNSent,SHARED,COMMON,BOTH,,[RFC3503]
$Forwarded,BOTH,COMMON,BOTH,,[RFC5550]
$SubmitPending,SHARED,COMMON,BOTH,,[RFC5550]
$Submitted,SHARED,COMMON,BOTH,,[RFC5550]
[$Junk],BOTH,COMMON,BOTH,,[Alexey_Melnikov]
[$NotJunk],BOTH,COMMON,BOTH,,[Alexey_Melnikov]
[$Phishing],SHARED,COMMON,BOTH,,[Rob_Mueller]
$Important,PRIVATE,COMMON,BOTH,,[RFC8457]
$draft,BOTH,COMMON,JMAP-only,,[RFC8621]
$seen,BOTH,COMMON,JMAP-only,,[RFC8621]
$flagged,BOTH,COMMON,JMAP-only,,[RFC8621]
$answered,BOTH,COMMON,JMAP-only,,[RFC8621]
$recent,,,Reserved,,[RFC8621]
