Code,ServiceChangeReasons,References
900,Service Restored,
901,Cold Boot,
902,Warm Boot,
903,MGC Directed Change,
904,Termination malfunctioning,
905,Termination taken out of service,
906,Loss of lower layer connectivity (e.g. downstream sync),
907,Transmission Failure,
908,MG Impending Failure,
909,MGC Impending Failure,
910,Media Capability Failure,
911,Modem Capability Failure,
912,Mux Capability Failure,
913,Signal Capability Failure,
914,Event Capability Failure,
915,State Loss,
916,Packages Change,
917,Capabilities Change,
918,Cancel Graceful,
919,Warm Failover,
920,Cold Failover,
