Value,Description,DTLS-OK,Reference
0,Unassigned,,
1,rsa_sign,Y,[RFC5246]
2,dss_sign,Y,[RFC5246]
3,rsa_fixed_dh,Y,[RFC5246]
4,dss_fixed_dh,Y,[RFC5246]
5,rsa_ephemeral_dh_RESERVED,Y,[RFC5246]
6,dss_ephemeral_dh_RESERVED,Y,[RFC5246]
7-19,Unassigned,,
20,fortezza_dms_RESERVED,Y,[RFC5246]
21-63,Unassigned,,
64,ecdsa_sign,Y,[RFC8422]
65,rsa_fixed_ecdh,Y,[RFC8422]
66,ecdsa_fixed_ecdh,Y,[RFC8422]
67,gost_sign256,Y,[RFC-smyshlyaev-tls12-gost-suites-18]
68,gost_sign512,Y,[RFC-smyshlyaev-tls12-gost-suites-18]
69-223,Unassigned,,
224-255,Reserved for Private Use,,[RFC5246]
