Value,Description,DTLS-OK,Reference,Comment
0,close_notify,Y,[RFC8446],
1-9,Unassigned,,,
10,unexpected_message,Y,[RFC8446],
11-19,Unassigned,,,
20,bad_record_mac,Y,[RFC8446],
21,decryption_failed_RESERVED,Y,[RFC8446],Used in TLS versions prior to 1.3.
22,record_overflow,Y,[RFC8446],
23-29,Unassigned,,,
30,decompression_failure_RESERVED,Y,[RFC8446],Used in TLS versions prior to 1.3.
31-39,Unassigned,,,
40,handshake_failure,Y,[RFC8446],
41,no_certificate_RESERVED,Y,[RFC8446],Used in SSLv3 but not in TLS.
42,bad_certificate,Y,[RFC8446],
43,unsupported_certificate,Y,[RFC8446],
44,certificate_revoked,Y,[RFC8446],
45,certificate_expired,Y,[RFC8446],
46,certificate_unknown,Y,[RFC8446],
47,illegal_parameter,Y,[RFC8446],
48,unknown_ca,Y,[RFC8446],
49,access_denied,Y,[RFC8446],
50,decode_error,Y,[RFC8446],
51,decrypt_error,Y,[RFC8446],
52,too_many_cids_requested,Y,[RFC9147],
53-59,Unassigned,,,
60,export_restriction_RESERVED,Y,[RFC8446],Used in TLS 1.0 but not TLS 1.1 or later.
61-69,Unassigned,,,
70,protocol_version,Y,[RFC8446],
71,insufficient_security,Y,[RFC8446],
72-79,Unassigned,,,
80,internal_error,Y,[RFC8446],
81-85,Unassigned,,,
86,inappropriate_fallback,Y,[RFC7507],
87-89,Unassigned,,,
90,user_canceled,Y,[RFC8446],
91-99,Unassigned,,,
100,no_renegotiation_RESERVED,Y,[RFC8446],Used in TLS versions prior to 1.3.
101-108,Unassigned,,,
109,missing_extension,Y,[RFC8446],
110,unsupported_extension,Y,[RFC8446],
111,certificate_unobtainable_RESERVED,Y,[RFC6066][RFC8446],Used in TLS versions prior to 1.3.
112,unrecognized_name,Y,[RFC6066],
113,bad_certificate_status_response,Y,[RFC6066],
114,bad_certificate_hash_value_RESERVED,Y,[RFC6066][RFC8446],Used in TLS versions prior to 1.3.
115,unknown_psk_identity,Y,[RFC4279],
116,certificate_required,Y,[RFC8446],
117-119,Unassigned,,,
120,no_application_protocol,Y,[RFC7301][RFC8447],
121,"ech_required (TEMPORARY - registered 2023-12-12, expires 2024-12-12)",Y,[draft-ietf-tls-esni-17],
122-255,Unassigned,,,
