Code,Name,Reference
0x0000,Reserved,[RFC6320]
0x0001,Access-Loop-Circuit-ID,[RFC6320]
0x0002,Access-Loop-Remote-ID,[RFC6320]
0x0003,Access-Aggregation-Circuit-ID-ASCII,[RFC6320]
0x0004,DSL-Line-Attributes,[RFC6320]
0x0005,Service-Profile-Name,[RFC6320]
0x0006,Access-Aggregation-Circuit-ID-Binary,[RFC6320]
0x0007,OAM-Loopback-Test-Parameters,[RFC6320]
0x0008,Opaque-Data,[RFC6320]
0x0009,OAM-Loopback-Test-Response-String,[RFC6320]
0x000A-0x0010,Unassigned,
0x0011,Command,[RFC6320]
0x0012,Unassigned,
0x0013,Multicast-Service-Profile,[RFC7256]
0x0014,Unassigned,
0x0015,Bandwidth-Allocation,[RFC7256]
0x0016,Bandwidth-Request,[RFC7256]
0x0017,Unassigned,
0x0018,Multicast-Service-Profile-Name,[RFC7256]
0x0019,Multicast-Flow,[RFC7256]
0x001a-0x0020,Unassigned,
0x0021,List-Action,[RFC7256]
0x0022,Sequence-Number,[RFC7256]
0x0023,Unassigned,
0x0024,White-List-CAC,[RFC7256]
0x0025,MRepCtl-CAC,[RFC7256]
0x0026-0x0080,Unassigned,
0x0081,Actual-Net-Data-Rate-Upstream,[RFC6320]
0x0082,Actual-Net-Data-Rate-Downstream,[RFC6320]
0x0083,Minimum-Net-Data-Rate-Upstream,[RFC6320]
0x0084,Minimum-Net-Data-Rate-Downstream,[RFC6320]
0x0085,Attainable-Net-Data-Rate-Upstream,[RFC6320]
0x0086,Attainable-Net-Data-Rate-Downstream,[RFC6320]
0x0087,Maximum-Net-Data-Rate-Upstream,[RFC6320]
0x0088,Maximum-Net-Data-Rate-Downstream,[RFC6320]
0x0089,Minimum-Net-Low-Power-Data-Rate-Upstream,[RFC6320]
0x008A,Minimum-Net-Low-Power-Data-Rate-Downstream,[RFC6320]
0x008B,Maximum-Interleaving-Delay-Upstream,[RFC6320]
0x008C,Actual-Interleaving-Delay-Upstream,[RFC6320]
0x008D,Maximum-Interleaving-Delay-Downstream,[RFC6320]
0x008E,Actual-Interleaving-Delay-Downstream,[RFC6320]
0x008F,DSL-Line-State,[RFC6320]
0x0090,Access-Loop-Encapsulation,[RFC6320]
0x0091,DSL-Type,[RFC6320]
0x0092,Request-Source-IP,[RFC7256]
0x0093,Request-Source-MAC,[RFC7256]
0x0094,Report-Buffering-Time,[RFC7256]
0x0095,Committed-Bandwidth,[RFC7256]
0x0096,Request-Source-Device-Id,[RFC7256]
0x0097-0x0105,Unassigned,
0x0106,Status-Info,[RFC6320]
0x0107-0x0FFF,Unassigned,
0x1000,Target (single access line variant),[RFC6320]
0x1001-0x1020,Reserved for Target variants,[RFC6320]
0x1021-0xFFFF,Unassigned,
