Type,Name,Reference
0-9,Unassigned,
10,Adjacency Protocol,[RFC6320]
11-31,Unassigned,
32,Port Management,[RFC6320]
33-79,Unassigned,
80,Port Up,[RFC6320]
81,Port Down,[RFC6320]
82-84,Unassigned,
85,Adjacency Update,[RFC6320]
86-90,Unassigned,
91,Generic Response,[RFC6320]
92,Unassigned,
93,Provisioning,[RFC6320]
94-143,Unassigned,
144,Multicast Replication Control,[RFC7256]
145,Multicast Admission Control,[RFC7256]
146,Bandwidth Reallocation Request,[RFC7256]
147,Bandwidth Transfer,[RFC7256]
148,Delegated Bandwidth Query,[RFC7256]
149,Multicast Flow Query,[RFC7256]
150,Committed Bandwidth Report,[RFC7256]
151-255,Unassigned,
