Value,Parameter Type,Length,Reference
0-64,Unassigned,,
65,ESP_INFO,12,[RFC7402]
66-127,Unassigned,,
128,R1_Counter (v1 only),12,[RFC5201]
129,R1_COUNTER,12,[RFC7401]
130-192,Unassigned,,
193,LOCATOR_SET,variable,[RFC8046]
194-256,Unassigned,,
257,PUZZLE,12,[RFC7401]
258-320,Unassigned,,
321,SOLUTION,20,[RFC7401]
322-384,Unassigned,,
385,SEQ,4,[RFC7401]
386-448,Unassigned,,
449,ACK,variable,[RFC7401]
450-510,Unassigned,,
511,DH_GROUP_LIST,variable,[RFC7401]
512,Unassigned,,
513,DIFFIE_HELLMAN,variable,[RFC7401]
514-576,Unassigned,,
577,HIP_TRANSFORM (v1 only),variable,[RFC5201]
578,Unassigned,,
579,HIP_CIPHER,variable,[RFC7401]
580-607,Unassigned,,
608,NAT_TRAVERSAL_MODE,variable,[RFC5770]
609,Unassigned,,
610,TRANSACTION_PACING,4,[RFC5770]
611-640,Unassigned,,
641,ENCRYPTED,variable,[RFC7401]
642-704,Unassigned,,
705,HOST_ID,variable,[RFC7401]
706-714,Unassigned,,
715,HIT_SUITE_LIST,variable,[RFC7401]
716-767,Unassigned,,
768,CERT,variable,[RFC7401][RFC8002]
769-831,Unassigned,,
832,NOTIFICATION,variable,[RFC7401]
833-896,Unassigned,,
897,ECHO_REQUEST_SIGNED,variable,[RFC7401]
898-929,Unassigned,,
930,REG_INFO,variable,[RFC8003]
931,Unassigned,,
932,REG_REQUEST,variable,[RFC8003]
933,Unassigned,,
934,REG_RESPONSE,variable,[RFC8003]
935,Unassigned,,
936,REG_FAILED,variable,[RFC8003]
937-949,Unassigned,,
950,REG_FROM,20,[RFC5770]
951-960,Unassigned,,
961,ECHO_RESPONSE_SIGNED,variable,[RFC7401]
962-2048,Unassigned,,
2049,TRANSPORT_FORMAT_LIST,variable,[RFC7401]
2050-4094,Unassigned,,
4095,ESP_TRANSFORM,variable,[RFC7402]
4096-4480,Unassigned,,
4481,SEQ_DATA,4,[RFC6078]
4482-4544,Unassigned,,
4545,ACK_DATA,variable,[RFC6078]
4546-4576,Unassigned,,
4577,PAYLOAD_MIC,variable,[RFC6078]
4578-4579,Unassigned,,
4580,TRANSACTION_ID,variable,[RFC6078]
4581-4591,Unassigned,,
4592,OVERLAY_ID,variable,[RFC6079]
4593-4600,Unassigned,,
4601,ROUTE_DST,variable,[RFC6028]
4602-4649,Unassigned,,
4650,RELAYED_ADDRESS,20,[RFC-ietf-hip-native-nat-traversal-33]
4651-4659,Unassigned,,
4660,MAPPED_ADDRESS,20,[RFC-ietf-hip-native-nat-traversal-33]
4661-4679,Unassigned,,
4680,PEER_PERMISSION,48,[RFC-ietf-hip-native-nat-traversal-33]
4681-4699,Unassigned,,
4700,CANDIDATE_PRIORITY,4,[RFC-ietf-hip-native-nat-traversal-33]
4701-4709,Unassigned,,
4710,NOMINATE,4,[RFC-ietf-hip-native-nat-traversal-33]
4711-7679,Unassigned,,
7680,HIP_TRANSPORT_MODE,variable,[RFC6261]
7681-32767,Unassigned,,
32768-49151,Reserved for Private Use,,[RFC7401]
49152-61504,Unassigned,,
61505,HIP_MAC,variable,[RFC7401]
61506-61568,Unassigned,,
61569,HIP_MAC_2,variable,[RFC7401]
61570-61632,Unassigned,,
61633,HIP_SIGNATURE_2,variable,[RFC7401]
61634-61696,Unassigned,,
61697,HIP_SIGNATURE,variable,[RFC7401]
61698-63660,Unassigned,,
63661,ECHO_REQUEST_UNSIGNED,variable,[RFC7401]
63662-63424,Unassigned,,
63425,ECHO_RESPONSE_UNSIGNED,variable,[RFC7401]
63426-63997,Unassigned,,
63998,RELAY_FROM,20,[RFC5770]
63999-64001,Unassigned,,
64002,RELAY_TO,20,[RFC5770]
64003-64010,Unassigned,,
64011,OVERLAY_TTL,4,[RFC6079]
64012-64016,Unassigned,,
64017,ROUTE_VIA,variable,[RFC6028]
64018-65497,Unassigned,,
65498,FROM,16,[RFC8004]
65499,Unassigned,,
65500,RVS_HMAC,variable,[RFC8004]
65501,Unassigned,,
65502,VIA_RVS,variable,[RFC8004]
65503-65519,Unassigned,,
65520,RELAY_HMAC,variable,[RFC5770]
65521-65535,Unassigned,,
