Value,Notify Message Type,Reference
0,Reserved,[RFC7401]
1,UNSUPPORTED_CRITICAL_PARAMETER_TYPE,[RFC7401]
2-6,Unassigned,
7,INVALID_SYNTAX,[RFC7401]
8-13,Unassigned,
14,NO_DH_PROPOSAL_CHOSEN,[RFC7401]
15,INVALID_DH_CHOSEN,[RFC7401]
16,NO_HIP_PROPOSAL_CHOSEN,[RFC7401]
17,INVALID_HIP_CIPHER_CHOSEN,[RFC7401]
18,NO_ESP_PROPOSAL_CHOSEN,[RFC7402]
19,INVALID_ESP_TRANSFORM_CHOSEN,[RFC7402]
20,UNSUPPORTED_HIT_SUITE,[RFC7401]
21-23,Unassigned,
24,AUTHENTICATION_FAILED,[RFC7401]
25,Unassigned,
26,CHECKSUM_FAILED,[RFC7401]
27,Unassigned,
28,HIP_MAC_FAILED,[RFC7401]
29-31,Unassigned,
32,ENCRYPTION_FAILED,[RFC7401]
33-39,Unassigned,
40,INVALID_HIT,[RFC7401]
41,Unassigned,
42,BLOCKED_BY_POLICY,[RFC7401]
43,Unassigned,
44,RESPONDER_BUSY_PLEASE_RETRY,[RFC7401]
45,Unassigned,
46,LOCATOR_TYPE_UNSUPPORTED,[RFC5206]
47,Unassigned,
48,CREDENTIALS_REQUIRED,[RFC8002]
49,Unassigned,
50,INVALID_CERTIFICATE,[RFC8002]
51,REG_REQUIRED,[RFC8003]
52-59,Unassigned,
60,NO_VALID_NAT_TRAVERSAL_MODE_PARAMETER,[RFC5770]
61,CONNECTIVITY_CHECKS_FAILED,[RFC5770]
62,MESSAGE_NOT_RELAYED,[RFC5770]
63-69,Unassigned,
70,OVERLAY_TTL_EXCEEDED,[RFC6079]
71-89,Unassigned,
90,UNKNOWN_NEXT_HOP,[RFC6028]
91-99,Unassigned,
100,NO_VALID_HIP_TRANSPORT_MODE,[RFC6261]
101-8191,Unassigned,
8192-16383,Reserved for Private Use,[RFC7401]
16384,I2_ACKNOWLEDGEMENT,[RFC7401]
16385-40959,Unassigned,
40960-65535,Reserved for Private Use,[RFC7401]
