Value,Name,Reference
0,RESERVED,[RFC7402]
1,AES-128-CBC with HMAC-SHA1,[RFC3602][RFC2404]
2,DEPRECATED,[RFC7402]
3,DEPRECATED,[RFC7402]
4,DEPRECATED,[RFC7402]
5,DEPRECATED,[RFC7402]
6,DEPRECATED,[RFC7402]
7,NULL with HMAC-SHA-256,[RFC2410][RFC4868]
8,AES-128-CBC with HMAC-SHA-256,[RFC3602][RFC4868]
9,AES-256-CBC with HMAC-SHA-256,[RFC3602][RFC4868]
10,AES-CCM-8,[RFC4309]
11,AES-CCM-16,[RFC4309]
12,AES-GCM with an 8 octet ICV,[RFC4106]
13,AES-GCM with a 16 octet ICV,[RFC4106]
14,AES-CMAC-96,[RFC4493][RFC4494]
15,AES-GMAC,[RFC4543]
16-65535,Unassigned,
