WITH protocol types,Description,Reference
SMTP,Simple Mail Transfer Protocol,[RFC5321]
ESMTP,SMTP with Service Extensions,[RFC5321]
ESMTPA,ESMTP with AUTH,[RFC3848]
ESMTPS,ESMTP with STARTTLS,[RFC3848]
ESMTPSA,ESMTP with both STARTTLS and AUTH,[RFC3848]
LMTP,Local Mail Transfer Protocol,[RFC3848]
LMTPA,LMTP with AUTH,[RFC3848]
LMTPS,LMTP with STARTTLS,[RFC3848]
LMTPSA,LMTP with both STARTTLS and AUTH,[RFC3848]
MMS,Multimedia Messaging Service,[RFC4356]
UTF8SMTP,ESMTP with SMTPUTF8,[RFC6531]
UTF8SMTPA,ESMTP with SMTPUTF8 and AUTH,[RFC4954][RFC6531]
UTF8SMTPS,ESMTP with SMTPUTF8 and STARTTLS,[RFC3207][RFC6531]
UTF8SMTPSA,"ESMTP with SMTPUTF8 and both STARTTLS and  
AUTH",[RFC3207][RFC4954][RFC6531]
UTF8LMTP,LMTP with SMTPUTF8,[RFC6531]
UTF8LMTPA,LMTP with SMTPUTF8 and AUTH,[RFC4954][RFC6531]
UTF8LMTPS,LMTP with SMTPUTF8 and STARTTLS,[RFC3207][RFC6531]
UTF8LMTPSA,"LMTP with SMTPUTF8 and both STARTTLS and   
AUTH",[RFC3207][RFC4954][RFC6531]
