Type,Name,Reference
0x00,Reserved,[RFC8609]
0x01,T_RETURN_NO_ROUTE,"[RFC8609, Section 3.2.3.3]"
0x02,T_RETURN_LIMIT_EXCEEDED,"[RFC8609, Section 3.2.3.3]"
0x03,T_RETURN_NO_RESOURCES,"[RFC8609, Section 3.2.3.3]"
0x04,T_RETURN_PATH_ERROR,"[RFC8609, Section 3.2.3.3]"
0x05,T_RETURN_PROHIBITED,"[RFC8609, Section 3.2.3.3]"
0x06,T_RETURN_CONGESTED,"[RFC8609, Section 3.2.3.3]"
0x07,T_RETURN_MTU_TOO_LARGE,"[RFC8609, Section 3.2.3.3]"
0x08,T_RETURN_UNSUPPORTED_HASH_RESTRICTION,"[RFC8609, Section 3.2.3.3]"
0x09,T_RETURN_MALFORMED_INTEREST,"[RFC8609, Section 3.2.3.3]"
0x0A,T_RETURN_INVALID_PATH_LABEL,[RFC-irtf-icnrg-pathsteering-07]
0x0B-0xFF,Unassigned,
