Identifier String,Flavor Name,Value,Description,Reference
AUTH_NONE,none,0,"no authentication, see RFC 1831/a.k.a. AUTH_NULL",[RFC5531]
AUTH_SYS,sys,1,"unix style (uid+gids), RFC 1831/a.k.a. AUTH_UNIX",[RFC5531]
AUTH_SHORT,,2,"short hand unix style, RFC 1831",[RFC5531]
AUTH_DH,dh,3,"des style (encrypted timestamp)/a.k.a. AUTH_DES, see RFC 2695",[RFC5531]
AUTH_KERB,krb4,4,"kerberos auth, see RFC 2695",[RFC5531]
AUTH_RSA,,5,RSA authentication,[RFC5531]
RPCSEC_GSS,,6,"GSS-based RPC security for auth, integrity and privacy, RFC 5403",[RFC5531][RFC Errata 4849]
AUTH_TLS,TLS,7,Indicates support for RPC-over-TLS,[RFC-ietf-nfsv4-rpc-tls-10]
,,8-30000,Unassigned,
AUTH_NW,,30001,NETWARE,[RFC5531]
,,30002-199999,Unassigned,
AUTH_SEC,,200000,TSIG NFS subcommittee,[RFC5531]
,,200001-200003,Unassigned,
AUTH_ESV,,200004,SVr4 ES,[RFC5531]
,,200005-299999,Unassigned,
AUTH_NQNFS,,300000,Univ. of Guelph - Not Quite NFS,[RFC5531]
AUTH_GSSAPI,,300001,OpenVision (john.linn@ov.com),[RFC5531]
AUTH_ILU_UGEN,,300002,Xerox (janssen@parc.xerox.com) - ILU Unsecured Generic Identity,[RFC5531]
AUTH_SPNEGO,,390000,,[RFC5531]
,,390000-390255,NFS 'pseudo' flavors for RPCSEC_GSS,[RFC5531]
,krb5,390003,"kerberos_v5 authentication, RFC 2623",[RFC5531]
,krb5i,390004,"kerberos_v5 with data integrity, RFC 2623",[RFC5531]
,krb5p,390005,"kerberos_v5 with data privacy, RFC 2623",[RFC5531]
,,390256-199999999,Unassigned,
,,200000000,Reserved,[RFC5531]
,,200100000,NeXT Inc.,[RFC5531]
