Namespace,Parameter,Reference
,LANGUAGE,"[RFC6350], Section 5.1"
,VALUE,"[RFC6350], Section 5.2"
,PREF,"[RFC6350], Section 5.3"
,ALTID,"[RFC6350], Section 5.4"
,PID,"[RFC6350], Section 5.5"
,TYPE,"[RFC6350], Section 5.6"
,MEDIATYPE,"[RFC6350], Section 5.7"
,CALSCALE,"[RFC6350], Section 5.8"
,SORT-AS,"[RFC6350], Section 5.9"
,GEO,"[RFC6350], Section 5.10"
,TZ,"[RFC6350], Section 5.11"
,INDEX,"[RFC6715], Section 3.1"
,LEVEL,"[RFC6715], Section 3.2"
,GROUP,"[RFC7095], Section 8.1"
,CC,"[RFC-hollenbeck-vcarddav-icann-rdap-extensions-01], Section 3.1"
