Value,Description,Reference
0,Reserved,
1,SOLICIT,[RFC8415]
2,ADVERTISE,[RFC8415]
3,REQUEST,[RFC8415]
4,CONFIRM,[RFC8415]
5,RENEW,[RFC8415]
6,REBIND,[RFC8415]
7,REPLY,[RFC8415]
8,RELEASE,[RFC8415]
9,DECLINE,[RFC8415]
10,RECONFIGURE,[RFC8415]
11,INFORMATION-REQUEST,[RFC8415]
12,RELAY-FORW,[RFC8415]
13,RELAY-REPL,[RFC8415]
14,LEASEQUERY,[RFC5007]
15,LEASEQUERY-REPLY,[RFC5007]
16,LEASEQUERY-DONE,[RFC5460]
17,LEASEQUERY-DATA,[RFC5460]
18,RECONFIGURE-REQUEST,[RFC6977]
19,RECONFIGURE-REPLY,[RFC6977]
20,DHCPV4-QUERY,[RFC7341]
21,DHCPV4-RESPONSE,[RFC7341]
22,ACTIVELEASEQUERY,[RFC7653]
23,STARTTLS,[RFC7653]
24,BNDUPD,[RFC8156]
25,BNDREPLY,[RFC8156]
26,POOLREQ,[RFC8156]
27,POOLRESP,[RFC8156]
28,UPDREQ,[RFC8156]
29,UPDREQALL,[RFC8156]
30,UPDDONE,[RFC8156]
31,CONNECT,[RFC8156]
32,CONNECTREPLY,[RFC8156]
33,DISCONNECT,[RFC8156]
34,STATE,[RFC8156]
35,CONTACT,[RFC8156]
36-255,Unassigned,
