Method,Definition,ptype,Property,Value,Status,Version
auth,[RFC7601],smtp,auth,identity confirmed by the AUTH command,active,1
auth,[RFC7601],smtp,mailfrom,AUTH parameter of the SMTP MAIL command,active,1
dkim,[RFC7601],header,d,"value of signature ""d"" tag",active,1
dkim,[RFC7601],header,i,"value of signature ""i"" tag",active,1
dkim,[RFC6008],header,b,"full or partial value of signature ""b"" tag",active,1
dkim-adsp,[RFC5617][RFC7601],header,from,"contents of the [RFC5322] From: header field, with comments removed",deprecated,1
dkim-atps,[RFC6541],header,from,"contents of the [RFC5322] From: header field, with comments removed",active,1
dmarc,[RFC7489],header,from,the domain portion of the RFC5322.From field,active,1
domainkeys,[RFC7601],header,d,"value of signature ""d"" tag",deprecated,1
domainkeys,[RFC7601],header,from,"contents of the [RFC5322] From: header field, after removing
          comments, and removing the local-part and following ""@"" if not
          authenticated",deprecated,1
domainkeys,[RFC7601],header,sender,"contents of the [RFC5322] Sender: header field, after
          removing comments, and removing the local-part and following
          ""@"" if not authenticated",deprecated,1
iprev,[RFC7601],policy,iprev,client IP address,active,1
rrvs,[RFC7293],smtp,rcptto,envelope recipient,active,1
sender-id,[RFC7601],header,name of header field used by PRA,"value of header field used by PRA after removing comments and parts 
        not authenticated",active,1
smime,[RFC7281],body,smime-part,"The MIME body part reference that contains the S/MIME signature.  
      See [Section 3.2.1 of RFC7281] for full syntax.",active,1
smime,[RFC7281],body,smime-identifer,"The email address [RFC5322] associated with the 
      S/MIME signature. The email address can be specified explicitly or derived 
      from the identity of the signer. Note that this email address can correspond 
      to a countersignature.",active,1
smime,[RFC7281],body,smime-serial,"serialNumber of the certificate associated with the S/MIME signature 
      (see Section 4.1.2.2 of [RFC5280]).",active,1
smime,[RFC7281],body,smime-issuer,"Issuer name DN (e.g., ""CN=CA1,ST=BC,c=CA"") of the certificate 
      associated with the S/MIME signature (see section 4.1.2.2 of  
      [RFC5280]).",active,1
spf,[RFC7601],smtp,mailfrom,envelope sender after removing parts not authenticated,active,1
spf,[RFC7601],smtp,helo,HELO/EHLO value,active,1
vbr,[RFC6212],header,md,DNS domain name used as the subject of a VBR query,active,1
vbr,[RFC6212],header,mv,DNS domain name of the entity acting as the voucher,active,1
