Code,Attribute,Reference
0,Reserved,[RFC3219]
1,WithdrawnRoutes,[RFC3219]
2,ReachableRoutes,[RFC3219]
3,NextHopServer,[RFC3219]
4,AdvertisementPath,[RFC3219]
5,RoutedPath,[RFC3219]
6,AtomicAggregate,[RFC3219]
7,LocalPreference,[RFC3219]
8,MultiExitDisc,[RFC3219]
9,Communities,[RFC3219]
10,ITAD Topology,[RFC3219]
11,ConvertedRoute,[RFC3219]
12,ResourcePriority,[RFC5115]
13,TotalCircuitCapacity,[RFC5140]
14,AvailableCircuits,[RFC5140]
15,CallSuccess,[RFC5140]
16,E.164 Prefix,[RFC5140]
17,Pentadecimal Routing Number Prefix,[RFC5140]
18,Decimal Routing Number Prefix,[RFC5140]
19,TrunkGroup,[RFC5140]
20,Carrier,[RFC5140]
21-223,Unassigned,
224-255,Reserved for Vendor Specific Attributes,[RFC3219]
