Value,Algorithm,Description,Reference
0,none,"The ""identity function"": The value of an encrypted hash is the hash itself",[RFC7182]
1,RSA,[RFC8017],[RFC7182]
2,DSA,[NIST-FIPS-186-4],[RFC7182]
3,HMAC,[RFC2104],[RFC7182]
4,3DES,[NIST-SP-800-67],[RFC7182]
5,AES,[NIST-FIPS-197],[RFC7182]
6,ECDSA,[RFC6090],[RFC7182]
7,ECCSI,ECCSI [RFC6507],[RFC7859]
8,ECCSI-ADDR,"ECCSI [RFC6507] with an address (source 
      or originator) joined to identity",[RFC7859]
9-251,,Unassigned,
252-255,,Reserved for Experimental Use,[RFC7182]
