Value,Policy,Reference
0x00000000,Reserved,[RFC5356]
0x00000001,Round Robin,[RFC5356]
0x00000002,Weighted Round Robin,[RFC5356]
0x00000003,Random,[RFC5356]
0x00000004,Weighted Random,[RFC5356]
0x00000005,Priority,[RFC5356]
0x00000006-0x3fffffff,Unassigned,
0x40000000,Reserved,[RFC5356]
0x40000001,Least Used,[RFC5356]
0x40000002,Least Used with Degradation,[RFC5356]
0x40000003,Priority Least Used,[RFC5356]
0x40000004,Randomized Least Used,[RFC5356]
0x40000005-0x7fffffff,Unassigned,
0x80000000-0xffffffff,Reserved for Private Use,[RFC5356]
