Type,Name,Reference
0,Reserved,[RFC8733]
1,Sample-Interval,[RFC8733]
2,Adjustment-Interval,[RFC8733]
3,Down-Adjustment-Interval,[RFC8733]
4,Adjustment-Threshold,[RFC8733]
5,Adjustment-Threshold-Percentage,[RFC8733]
6,Down-Adjustment-Threshold,[RFC8733]
7,Down-Adjustment-Threshold-Percentage,[RFC8733]
8,Minimum-Bandwidth,[RFC8733]
9,Maximum-Bandwidth,[RFC8733]
10,Overflow-Threshold,[RFC8733]
11,Overflow-Threshold-Percentage,[RFC8733]
12,Underflow-Threshold,[RFC8733]
13,Underflow-Threshold-Percentage,[RFC8733]
14-65503,Unassigned,
65504-65535,Experimental Use,[RFC8733]
