Value,Description,Reference
0-19,Unassigned,
20,"COLOR-CAPABILITY (TEMPORARY - registered 2023-10-30, expires 2024-10-30)",[draft-ietf-pce-pcep-color-02]
21,PD-LSP-CAPABILITY (PD-bit),[RFC8934]
22,LSP-SCHEDULING-CAPABILITY (B-bit),[RFC8934]
23,P2MP-LSP-INSTANTIATION-CAPABILITY,[RFC8623]
24,P2MP-LSP-UPDATE-CAPABILITY,[RFC8623]
25,P2MP-CAPABILITY,[RFC8623]
26,TRIGGERED-INITIAL-SYNC,[RFC8232]
27,DELTA-LSP-SYNC-CAPABILITY,[RFC8232]
28,TRIGGERED-RESYNC,[RFC8232]
29,LSP-INSTANTIATION-CAPABILITY (I),[RFC8281]
30,INCLUDE-DB-VERSION,[RFC8232]
31,LSP-UPDATE-CAPABILITY,[RFC8231]
