Value,Description,Reference
0,NULL (DEPRECATED),[RFC6396]
1,START (DEPRECATED),[RFC6396]
2,DIE (DEPRECATED),[RFC6396]
3,I_AM_DEAD (DEPRECATED),[RFC6396]
4,PEER_DOWN (DEPRECATED),[RFC6396]
5,BGP (DEPRECATED),[RFC6396]
6,RIP (DEPRECATED),[RFC6396]
7,IDRP (DEPRECATED),[RFC6396]
8,RIPNG (DEPRECATED),[RFC6396]
9,BGP4PLUS (DEPRECATED),[RFC6396]
10,BGP4PLUS_01 (DEPRECATED),[RFC6396]
11,OSPFv2,[RFC6396]
12,TABLE_DUMP,[RFC6396]
13,TABLE_DUMP_V2,[RFC6396]
14-15,Reserved,
16,BGP4MP,[RFC6396]
17,BGP4MP_ET,[RFC6396]
18-31,Reserved,
32,ISIS,[RFC6396]
33,ISIS_ET,[RFC6396]
34-47,Reserved,[RFC6396]
48,OSPFv3,[RFC6396]
49,OSPFv3_ET,[RFC6396]
50-64,Reserved,[RFC6396]
65-64511,Unassigned,
64512-65534,Reserved for Experimental Use,[RFC6396]
65535,Reserved,[RFC6396]
