Reset Code,Name,Reference
0,Unspecified,[RFC4340]
1,Closed,[RFC4340]
2,Aborted,[RFC4340]
3,No Connection,[RFC4340]
4,Packet Error,[RFC4340]
5,Option Error,[RFC4340]
6,Mandatory Error,[RFC4340]
7,Connection Refused,[RFC4340]
8,Bad Service Code,[RFC4340]
9,Too Busy,[RFC4340]
10,Bad Init Cookie,[RFC4340]
11,Aggression Penalty,[RFC4340]
12,Encapsulated Port Reuse,[RFC6773]
13-119,Unassigned,[RFC4340]
120-126,Reserved,[RFC4340]
127,Unassigned,[RFC4340]
128-255,CCID-specific codes,[RFC4340]
