Type,Description/Meaning,Reference
0,Padding,[RFC4340]
1,Mandatory,[RFC4340]
2,Slow Receiver,[RFC4340]
3-30,Unassigned,[RFC4340]
31,Reserved for experimental and testing use,[RFC4340]
32,Change L,[RFC4340]
33,Confirm L,[RFC4340]
34,Change R,[RFC4340]
35,Confirm R,[RFC4340]
36,Init Cookie,[RFC4340]
37,NDP Count,[RFC4340]
38,Ack Vector [Nonce 0],[RFC4340]
39,Ack Vector [Nonce 1],[RFC4340]
40,Data Dropped,[RFC4340]
41,Timestamp,[RFC4340]
42,Timestamp Echo,[RFC4340]
43,Elapsed Time,[RFC4340]
44,Data Checksum,[RFC4340]
45,Quick-Start Response,[RFC5634]
46-119,Unassigned,[RFC4340]
120-126,Reserved,[RFC4340]
127,Unassigned,[RFC4340]
128-255,CCID-specific codes,[RFC4340]
