Version Number,Reference,Status
0,[draft-ietf-hybi-thewebsocketprotocol-00],Interim
1,[draft-ietf-hybi-thewebsocketprotocol-01],Interim
2,[draft-ietf-hybi-thewebsocketprotocol-02],Interim
3,[draft-ietf-hybi-thewebsocketprotocol-03],Interim
4,[draft-ietf-hybi-thewebsocketprotocol-04],Interim
5,[draft-ietf-hybi-thewebsocketprotocol-05],Interim
6,[draft-ietf-hybi-thewebsocketprotocol-06],Interim
7,[draft-ietf-hybi-thewebsocketprotocol-07],Interim
8,[draft-ietf-hybi-thewebsocketprotocol-08],Interim
9,[Reserved],
10,[Reserved],
11,[Reserved],
12,[Reserved],
13,[RFC6455],Standard
