Value,Name,Reference
0x000,Reserved,[RFC8489]
0x001,Binding,[RFC8489]
0x002,Reserved; was SharedSecret prior to [RFC5389],[RFC8489]
0x003,Allocate,[RFC8656]
0x004,Refresh,[RFC8656]
0x005,Unassigned,
0x006,Send,[RFC8656]
0x007,Data,[RFC8656]
0x008,CreatePermission,[RFC8656]
0x009,ChannelBind,[RFC8656]
0x00A,Connect,[RFC6062]
0x00B,ConnectionBind,[RFC6062]
0x00C,ConnectionAttempt,[RFC6062]
0x00D-0x07F,Unassigned,
0x080,GOOG-PING,[Jonas_Oreland]
0x081-0x0FF,Unassigned,
0x100-0xFFF,"Reserved (For DTLS-SRTP multiplexing collision avoidance, see [RFC7983]. Cannot be made available for assignment without IETF Review.)",[RFC7983]
