Value,Name,Description,Reference
0 (0x0000),End-Of-List,See the reference,[RFC2516]
1-256,Unassigned,,
257 (0x0101),Service-Name,See the reference,[RFC2516]
258 (0x0102),AC-Name,See the reference,[RFC2516]
259 (0x0103),Host-Uniq,See the reference,[RFC2516]
260 (0x0104),AC-Cookie,See the reference,[RFC2516]
261 (0x0105),Vendor-Specific,See the reference,[RFC2516]
262 (0x0106),Credits,See the reference,[RFC5578]
263 (0x0107),Metrics,See the reference,[RFC5578]
264 (0x0108),Sequence Number,See the reference,[RFC5578]
265 (0x0109),Credit Scale Factor,See the reference,[RFC5578]
266-271,Unassigned,,
272 (0x0110),Relay-Session-Id,See the reference,[RFC2516]
273 (0x0111),HURL,See the reference,"[Carrel D., Simone D., Ho C., Stoner T., ""Extensions
to a Method for Transmitting PPP Over Ethernet
(PPPoE)"", work in progress.]"
274 (0x0112),MOTM,See the reference,"[Carrel D., Simone D., Ho C., Stoner T., ""Extensions
to a Method for Transmitting PPP Over Ethernet
(PPPoE)"", work in progress.]"
275-287,Unassigned,,
288 (0x0120),PPP-Max-Payload,See the reference,[RFC4638]
289 (0x0121),IP_Route_Add,See the reference,"[Carrel D., Simone D., Ho C., Stoner T., ""Extensions
to a Method for Transmitting PPP Over Ethernet
(PPPoE)"", work in progress.]"
290-512,Unassigned,,
513 (0x0201),Service-Name-Error,See the reference,[RFC2516]
514 (0x0202),AC-System-Error,See the reference,[RFC2516]
515 (0x0203),Generic-Error,See the reference,[RFC2516]
516-65535,Unassigned,,
