Value,Name,References
0,Reserved,[RFC2407]
1,HMAC-MD5,[RFC2407]
2,HMAC-SHA,[RFC2407]
3,DES-MAC,[RFC2407]
4,KPDK,[RFC2407]
5,HMAC-SHA2-256,[Marcus_Leech][IPSEC]
6,HMAC-SHA2-384,[Marcus_Leech][IPSEC]
7,HMAC-SHA2-512,[Marcus_Leech][IPSEC]
8,HMAC-RIPEMD,[RFC2857]
9,AES-XCBC-MAC,[RFC3566]
10,SIG-RSA,[RFC4359]
11,AES-128-GMAC,[RFC4543][RFC Errata 1821]
12,AES-192-GMAC,[RFC4543][RFC Errata 1821]
13,AES-256-GMAC,[RFC4543][RFC Errata 1821]
14-61439,Unassigned,
61440-65535,Reserved for private use,
